plant_id,sku,region,production_cases,total_cost,week_start
P02,BB250,Central,262.82086,5519.23806,2025-07-07
P02,BB250,South,337.94207,6420.89933,2025-07-07
P02,BB250,West,326.55512,7184.21264,2025-07-07
P02,BB500,Central,372.54702,10431.31656,2025-07-07
P02,BB500,South,460.78914,11980.51764,2025-07-07
P02,BB500,West,454.34577,13176.02733,2025-07-07
P02,BB1000,Central,453.47183,19045.81686,2025-07-07
P02,BB1000,South,574.46471,22978.5884,2025-07-07
P02,BB1000,West,598.47519,25734.43317,2025-07-07
P02,LM250,Central,203.03484,4060.6968,2025-07-07
P02,LM250,South,258.95736,4661.23248,2025-07-07
P02,LM250,West,254.9826,5354.634599999999,2025-07-07
P02,LM500,Central,286.02564,7436.66664,2025-07-07
P02,LM500,South,362.39337,8697.44088,2025-07-07
P02,LM500,West,364.28252,9835.62804,2025-07-07
P02,OR500,Central,231.99931,6263.98137,2025-07-07
P02,OR500,South,294.45696,7361.423999999999,2025-07-07
P02,OR500,West,314.21021,8797.88588,2025-07-07
P02,OR1000,Central,330.11855,13534.860550000001,2025-07-07
P02,OR1000,South,467.44795,18230.47005,2025-07-07
P02,OR1000,West,467.56482,19637.72244,2025-07-07
P02,EN250,Central,156.61208,5951.25904,2025-07-07
P02,EN250,South,199.56199,7184.23164,2025-07-07
P02,EN250,West,207.07869,8076.06891,2025-07-07
P02,EN500,Central,111.73496,6480.62768,2025-07-07
P02,EN500,South,140.61357,7874.359920000001,2025-07-07
P02,EN500,West,146.02944,8615.73696,2025-07-07
P02,WT1000,Central,866.71492,14734.15364,2025-07-07
P02,WT1000,South,929.35221,13940.28315,2025-07-07
P02,WT1000,West,937.10675,16867.9215,2025-07-07
P03,BB250,East,262.93834,5521.70514,2025-07-07
P03,BB500,East,382.53332,10710.93296,2025-07-07
P03,BB1000,East,457.31603,19207.27326,2025-07-07
P03,LM250,East,202.1634,4043.268,2025-07-07
P03,LM500,East,290.30215,7547.8559,2025-07-07
P03,OR500,East,240.73307,6499.79289,2025-07-07
P03,OR1000,East,355.89529,14591.70689,2025-07-07
P03,EN250,East,164.61064,6255.20432,2025-07-07
P03,EN500,East,110.137,6387.946,2025-07-07
P03,WT1000,East,845.49335,14373.38695,2025-07-07
P01,BB250,North,288.43239,5768.6478,2025-07-14
P01,BB500,North,414.20108,11183.42916,2025-07-14
P01,BB1000,North,519.26404,21289.825640000003,2025-07-14
P01,LM250,North,215.49036,4094.3168400000004,2025-07-14
P01,LM500,North,330.69485,8267.37125,2025-07-14
P01,OR500,North,276.76058,7195.77508,2025-07-14
P01,OR1000,North,366.79812,14671.924799999999,2025-07-14
P01,EN250,North,171.20716,6334.664919999999,2025-07-14
P01,EN500,North,123.34694,7030.77558,2025-07-14
P01,WT1000,North,841.69007,13467.04112,2025-07-14
P02,BB250,Central,262.76561,5518.07781,2025-07-14
P02,BB250,South,326.15431,6196.93189,2025-07-14
P02,BB250,West,330.7029,7275.4637999999995,2025-07-14
P02,BB500,Central,366.04227,10249.18356,2025-07-14
P02,BB500,South,459.37135,11943.6551,2025-07-14
P02,BB500,West,464.03419,13456.99151,2025-07-14
P02,BB1000,Central,451.16791,18949.05222,2025-07-14
P02,BB1000,South,582.60858,23304.3432,2025-07-14
P02,BB1000,West,605.52178,26037.436540000002,2025-07-14
P02,LM250,Central,206.88839,4137.7678,2025-07-14
P02,LM250,South,256.1237,4610.2266,2025-07-14
P02,LM250,West,257.58096,5409.20016,2025-07-14
P02,LM500,Central,287.60175,7477.6455,2025-07-14
P02,LM500,South,362.26671,8694.40104,2025-07-14
P02,LM500,West,377.84992,10201.94784,2025-07-14
P02,OR500,Central,239.1569,6457.2363000000005,2025-07-14
P02,OR500,South,310.43495,7760.873750000001,2025-07-14
P02,OR500,West,312.73015,8756.4442,2025-07-14
P02,OR1000,Central,349.09461,14312.879009999999,2025-07-14
P02,OR1000,South,469.94099,18327.69861,2025-07-14
P02,OR1000,West,454.68413,19096.73346,2025-07-14
P02,EN250,Central,157.47664,5984.11232,2025-07-14
P02,EN250,South,202.87958,7303.66488,2025-07-14
P02,EN250,West,197.6151,7706.9889,2025-07-14
P02,EN500,Central,116.32633,6746.92714,2025-07-14
P02,EN500,South,141.25237,7910.1327200000005,2025-07-14
P02,EN500,West,147.09899,8678.840409999999,2025-07-14
P02,WT1000,Central,819.7954,13936.521799999999,2025-07-14
P02,WT1000,South,955.13191,14326.97865,2025-07-14
P02,WT1000,West,955.07349,17191.32282,2025-07-14
P03,BB250,East,279.08598,5860.80558,2025-07-14
P03,BB500,East,421.99434,11815.84152,2025-07-14
P03,BB1000,East,464.51948,19509.81816,2025-07-14
P03,LM250,East,200.92437,4018.4874,2025-07-14
P03,LM500,East,283.89807,7381.34982,2025-07-14
P03,OR500,East,240.27062,6487.30674,2025-07-14
P03,OR1000,East,355.29597,14567.13477,2025-07-14
P03,EN250,East,160.18216,6086.92208,2025-07-14
P03,EN500,East,113.11398,6560.61084,2025-07-14
P03,WT1000,East,831.39435,14133.703950000001,2025-07-14
P01,BB250,North,284.86368,5697.2735999999995,2025-07-21
P01,BB500,North,446.61812,12058.68924,2025-07-21
P01,BB1000,North,500.74417,20530.51097,2025-07-21
P01,LM250,North,220.90856,4197.26264,2025-07-21
P01,LM500,North,328.81895,8220.47375,2025-07-21
P01,OR500,North,256.79949,6676.78674,2025-07-21
P01,OR1000,North,367.86879,14714.7516,2025-07-21
P01,EN250,North,165.87032,6137.20184,2025-07-21
P01,EN500,North,129.93176,7406.11032,2025-07-21
P01,WT1000,North,809.34842,12949.57472,2025-07-21
P02,BB250,Central,257.73763,5412.49023,2025-07-21
P02,BB250,South,317.83231,6038.81389,2025-07-21
P02,BB250,West,348.41355,7665.098099999999,2025-07-21
P02,BB500,Central,361.39238,10118.98664,2025-07-21
P02,BB500,South,453.04657,11779.21082,2025-07-21
P02,BB500,West,462.87876,13423.48404,2025-07-21
P02,BB1000,Central,464.16971,19495.12782,2025-07-21
P02,BB1000,South,578.42432,23136.9728,2025-07-21
P02,BB1000,West,581.81229,25017.92847,2025-07-21
P02,LM250,Central,201.54351,4030.8702,2025-07-21
P02,LM250,South,259.47062,4670.47116,2025-07-21
P02,LM250,West,254.13127,5336.75667,2025-07-21
P02,LM500,Central,286.59765,7451.5389,2025-07-21
P02,LM500,South,365.76678,8778.40272,2025-07-21
P02,LM500,West,377.95899,10204.89273,2025-07-21
P02,OR500,Central,241.66367,6524.91909,2025-07-21
P02,OR500,South,310.16742,7754.1855,2025-07-21
P02,OR500,West,328.71854,9204.119120000001,2025-07-21
P02,OR1000,Central,334.17599,13701.21559,2025-07-21
P02,OR1000,South,465.12635,18139.92765,2025-07-21
P02,OR1000,West,449.403,18874.926,2025-07-21
P02,EN250,Central,158.23142,6012.793960000001,2025-07-21
P02,EN250,South,197.78407,7120.22652,2025-07-21
P02,EN250,West,198.63603,7746.8051700000005,2025-07-21
P02,EN500,Central,114.37638,6633.83004,2025-07-21
P02,EN500,South,144.90135,8114.475600000001,2025-07-21
P02,EN500,West,151.76817,8954.32203,2025-07-21
P02,WT1000,Central,845.30183,14370.13111,2025-07-21
P02,WT1000,South,977.7796,14666.694,2025-07-21
P02,WT1000,West,997.32477,17951.845859999998,2025-07-21
P03,BB250,East,272.72355,5727.19455,2025-07-21
P03,BB500,East,391.83611,10971.41108,2025-07-21
P03,BB1000,East,460.05404,19322.269679999998,2025-07-21
P03,LM250,East,200.14185,4002.837,2025-07-21
P03,LM500,East,278.47139,7240.2561399999995,2025-07-21
P03,OR500,East,237.1642,6403.4334,2025-07-21
P03,OR1000,East,349.6163,14334.268300000002,2025-07-21
P03,EN250,East,166.4209,6323.994199999999,2025-07-21
P03,EN500,East,119.10593,6908.14394,2025-07-21
P03,WT1000,East,819.14464,13925.45888,2025-07-21
P01,BB250,North,262.52025,5250.405,2025-07-28
P01,BB500,North,382.42185,10325.38995,2025-07-28
P01,BB1000,North,482.58598,19786.02518,2025-07-28
P01,LM250,North,209.48303,3980.1775700000003,2025-07-28
P01,LM500,North,299.45781,7486.44525,2025-07-28
P01,OR500,North,243.92931,6342.16206,2025-07-28
P01,OR1000,North,368.70939,14748.3756,2025-07-28
P01,EN250,North,162.93038,6028.42406,2025-07-28
P01,EN500,North,122.81896,7000.68072,2025-07-28
P01,WT1000,North,794.54051,12712.64816,2025-07-28
P02,BB250,Central,270.48076,5680.09596,2025-07-28
P02,BB250,South,310.99933,5908.98727,2025-07-28
P02,BB250,West,328.91095,7236.0409,2025-07-28
P02,BB500,Central,360.75033,10101.009240000001,2025-07-28
P02,BB500,South,443.50493,11531.12818,2025-07-28
P02,BB500,West,430.95872,12497.802880000001,2025-07-28
P02,BB1000,Central,462.72118,19434.28956,2025-07-28
P02,BB1000,South,567.46665,22698.665999999997,2025-07-28
P02,BB1000,West,573.92818,24678.91174,2025-07-28
P02,LM250,Central,191.88553,3837.7106,2025-07-28
P02,LM250,South,259.59761,4672.756979999999,2025-07-28
P02,LM250,West,243.27659,5108.80839,2025-07-28
P02,LM500,Central,272.48262,7084.5481199999995,2025-07-28
P02,LM500,South,341.62484,8198.99616,2025-07-28
P02,LM500,West,357.52893,9653.28111,2025-07-28
P02,OR500,Central,227.44238,6140.94426,2025-07-28
P02,OR500,South,295.91205,7397.80125,2025-07-28
P02,OR500,West,315.20076,8825.62128,2025-07-28
P02,OR1000,Central,335.36018,13749.767380000001,2025-07-28
P02,OR1000,South,438.49371,17101.25469,2025-07-28
P02,OR1000,West,430.24502,18070.29084,2025-07-28
P02,EN250,Central,160.68895,6106.1801000000005,2025-07-28
P02,EN250,South,195.4833,7037.398800000001,2025-07-28
P02,EN250,West,198.53013,7742.67507,2025-07-28
P02,EN500,Central,110.74352,6423.12416,2025-07-28
P02,EN500,South,141.45003,7921.20168,2025-07-28
P02,EN500,West,140.12333,8267.27647,2025-07-28
P02,WT1000,Central,846.39336,14388.68712,2025-07-28
P02,WT1000,South,917.95859,13769.37885,2025-07-28
P02,WT1000,West,921.21007,16581.78126,2025-07-28
P03,BB250,East,264.95836,5564.12556,2025-07-28
P03,BB500,East,395.63572,11077.800159999999,2025-07-28
P03,BB1000,East,436.61814,18337.96188,2025-07-28
P03,LM250,East,199.33507,3986.7014,2025-07-28
P03,LM500,East,279.10652,7256.76952,2025-07-28
P03,OR500,East,226.99887,6128.96949,2025-07-28
P03,OR1000,East,329.62883,13514.78203,2025-07-28
P03,EN250,East,155.70771,5916.89298,2025-07-28
P03,EN500,East,110.42813,6404.83154,2025-07-28
P03,WT1000,East,787.54214,13388.21638,2025-07-28
P01,BB250,North,244.11666,4882.3332,2025-08-04
P01,BB500,North,371.41268,10028.14236,2025-08-04
P01,BB1000,North,453.47685,18592.55085,2025-08-04
P01,LM250,North,201.27221,3824.17199,2025-08-04
P01,LM500,North,299.98097,7499.52425,2025-08-04
P01,OR500,North,252.56834,6566.77684,2025-08-04
P01,OR1000,North,338.85038,13554.015199999998,2025-08-04
P01,EN250,North,159.46277,5900.122490000001,2025-08-04
P01,EN500,North,111.03986,6329.27202,2025-08-04
P01,WT1000,North,754.94908,12079.18528,2025-08-04
P02,BB250,Central,241.5198,5071.9158,2025-08-04
P02,BB250,South,287.82915,5468.753850000001,2025-08-04
P02,BB250,West,310.70111,6835.42442,2025-08-04
P02,BB500,Central,327.996,9183.887999999999,2025-08-04
P02,BB500,South,426.11708,11079.04408,2025-08-04
P02,BB500,West,439.77694,12753.531260000002,2025-08-04
P02,BB1000,Central,430.72863,18090.602460000002,2025-08-04
P02,BB1000,South,508.71748,20348.699200000003,2025-08-04
P02,BB1000,West,543.92888,23388.941840000003,2025-08-04
P02,LM250,Central,179.2408,3584.8160000000003,2025-08-04
P02,LM250,South,232.8859,4191.9462,2025-08-04
P02,LM250,West,238.23736,5002.98456,2025-08-04
P02,LM500,Central,263.15485,6842.0261,2025-08-04
P02,LM500,South,331.38082,7953.13968,2025-08-04
P02,LM500,West,348.58076,9411.68052,2025-08-04
P02,OR500,Central,217.4787,5871.9249,2025-08-04
P02,OR500,South,272.12334,6803.0835,2025-08-04
P02,OR500,West,309.83331,8675.33268,2025-08-04
P02,OR1000,Central,318.65727,13064.948069999999,2025-08-04
P02,OR1000,South,405.53489,15815.86071,2025-08-04
P02,OR1000,West,418.50218,17577.09156,2025-08-04
P02,EN250,Central,145.31976,5522.15088,2025-08-04
P02,EN250,South,185.33881,6672.19716,2025-08-04
P02,EN250,West,190.39738,7425.49782,2025-08-04
P02,EN500,Central,101.67544,5897.17552,2025-08-04
P02,EN500,South,129.93405,7276.3068,2025-08-04
P02,EN500,West,133.21286,7859.55874,2025-08-04
P02,WT1000,Central,765.39278,13011.67726,2025-08-04
P02,WT1000,South,887.34865,13310.22975,2025-08-04
P02,WT1000,West,918.93929,16540.90722,2025-08-04
P03,BB250,East,251.56914,5282.95194,2025-08-04
P03,BB500,East,365.52681,10234.750680000001,2025-08-04
P03,BB1000,East,420.64158,17666.946359999998,2025-08-04
P03,LM250,East,188.44362,3768.8724,2025-08-04
P03,LM500,East,266.9407,6940.4582,2025-08-04
P03,OR500,East,223.5109,6034.7943,2025-08-04
P03,OR1000,East,311.85518,12786.062380000001,2025-08-04
P03,EN250,East,147.52578,5605.97964,2025-08-04
P03,EN500,East,100.95963,5855.65854,2025-08-04
P03,WT1000,East,756.52723,12860.96291,2025-08-04
P01,BB250,North,243.94278,4878.8556,2025-08-11
P01,BB500,North,367.94555,9934.52985,2025-08-11
P01,BB1000,North,474.28479,19445.67639,2025-08-11
P01,LM250,North,201.87633,3835.65027,2025-08-11
P01,LM500,North,284.39895,7109.97375,2025-08-11
P01,OR500,North,247.61103,6437.88678,2025-08-11
P01,OR1000,North,345.21756,13808.7024,2025-08-11
P01,EN250,North,167.8049,6208.781300000001,2025-08-11
P01,EN500,North,116.19659,6623.20563,2025-08-11
P01,WT1000,North,779.13906,12466.22496,2025-08-11
P02,BB250,Central,239.49409,5029.37589,2025-08-11
P02,BB250,South,304.32528,5782.18032,2025-08-11
P02,BB250,West,313.87435,6905.2357,2025-08-11
P02,BB500,Central,346.75164,9709.04592,2025-08-11
P02,BB500,South,422.7301,10990.9826,2025-08-11
P02,BB500,West,419.72135,12171.91915,2025-08-11
P02,BB1000,Central,449.26083,18868.95486,2025-08-11
P02,BB1000,South,532.01073,21280.4292,2025-08-11
P02,BB1000,West,548.62178,23590.736539999998,2025-08-11
P02,LM250,Central,186.18596,3723.7192,2025-08-11
P02,LM250,South,246.34117,4434.14106,2025-08-11
P02,LM250,West,244.87007,5142.27147,2025-08-11
P02,LM500,Central,264.59218,6879.39668,2025-08-11
P02,LM500,South,333.22065,7997.2955999999995,2025-08-11
P02,LM500,West,355.45853,9597.38031,2025-08-11
P02,OR500,Central,221.8592,5990.198399999999,2025-08-11
P02,OR500,South,283.23812,7080.9529999999995,2025-08-11
P02,OR500,West,297.86053,8340.09484,2025-08-11
P02,OR1000,Central,336.22101,13785.061409999998,2025-08-11
P02,OR1000,South,426.21474,16622.37486,2025-08-11
P02,OR1000,West,416.38271,17488.073819999998,2025-08-11
P02,EN250,Central,156.702,5954.6759999999995,2025-08-11
P02,EN250,South,184.52894,6643.04184,2025-08-11
P02,EN250,West,189.96215,7408.5238500000005,2025-08-11
P02,EN500,Central,103.30825,5991.8785,2025-08-11
P02,EN500,South,137.5631,7703.5336,2025-08-11
P02,EN500,West,133.13204,7854.790359999999,2025-08-11
P02,WT1000,Central,762.38254,12960.50318,2025-08-11
P02,WT1000,South,885.78212,13286.7318,2025-08-11
P02,WT1000,West,874.83108,15746.95944,2025-08-11
P03,BB250,East,247.07848,5188.64808,2025-08-11
P03,BB500,East,368.13254,10307.71112,2025-08-11
P03,BB1000,East,462.32996,19417.85832,2025-08-11
P03,LM250,East,185.60072,3712.0144,2025-08-11
P03,LM500,East,275.81512,7171.19312,2025-08-11
P03,OR500,East,224.78887,6069.29949,2025-08-11
P03,OR1000,East,322.51163,13222.976830000001,2025-08-11
P03,EN250,East,154.76075,5880.9085000000005,2025-08-11
P03,EN500,East,105.87361,6140.66938,2025-08-11
P03,WT1000,East,734.8973,12493.2541,2025-08-11
P01,BB250,North,243.29463,4865.8926,2025-08-18
P01,BB500,North,363.44641,9813.05307,2025-08-18
P01,BB1000,North,467.84326,19181.57366,2025-08-18
P01,LM250,North,191.12375,3631.35125,2025-08-18
P01,LM500,North,293.38717,7334.679250000001,2025-08-18
P01,OR500,North,240.87341,6262.70866,2025-08-18
P01,OR1000,North,337.97167,13518.8668,2025-08-18
P01,EN250,North,157.38523,5823.2535100000005,2025-08-18
P01,EN500,North,110.59313,6303.808410000001,2025-08-18
P01,WT1000,North,748.65697,11978.51152,2025-08-18
P02,BB250,Central,231.86747,4869.21687,2025-08-18
P02,BB250,South,304.60797,5787.55143,2025-08-18
P02,BB250,West,304.94153,6708.71366,2025-08-18
P02,BB500,Central,322.87299,9040.443720000001,2025-08-18
P02,BB500,South,445.48449,11582.596739999999,2025-08-18
P02,BB500,West,428.80373,12435.308169999998,2025-08-18
P02,BB1000,Central,445.99741,18731.89122,2025-08-18
P02,BB1000,South,517.90291,20716.1164,2025-08-18
P02,BB1000,West,557.644,23978.692,2025-08-18
P02,LM250,Central,185.05986,3701.1971999999996,2025-08-18
P02,LM250,South,247.74993,4459.49874,2025-08-18
P02,LM250,West,236.76718,4972.11078,2025-08-18
P02,LM500,Central,260.69787,6778.144620000001,2025-08-18
P02,LM500,South,326.45315,7834.875599999999,2025-08-18
P02,LM500,West,347.19504,9374.26608,2025-08-18
P02,OR500,Central,225.89879,6099.26733,2025-08-18
P02,OR500,South,277.37738,6934.4345,2025-08-18
P02,OR500,West,297.42479,8327.894119999999,2025-08-18
P02,OR1000,Central,306.28827,12557.819070000001,2025-08-18
P02,OR1000,South,414.93757,16182.56523,2025-08-18
P02,OR1000,West,411.92141,17300.69922,2025-08-18
P02,EN250,Central,145.22069,5518.386219999999,2025-08-18
P02,EN250,South,182.46327,6568.67772,2025-08-18
P02,EN250,West,191.05776,7451.25264,2025-08-18
P02,EN500,Central,99.144868,5750.402344,2025-08-18
P02,EN500,South,132.33786,7410.920160000001,2025-08-18
P02,EN500,West,132.54278,7820.02402,2025-08-18
P02,WT1000,Central,745.86774,12679.75158,2025-08-18
P02,WT1000,South,865.80188,12987.0282,2025-08-18
P02,WT1000,West,898.70727,16176.73086,2025-08-18
P03,BB250,East,242.01604,5082.33684,2025-08-18
P03,BB500,East,354.82449,9935.085720000001,2025-08-18
P03,BB1000,East,414.10209,17392.28778,2025-08-18
P03,LM250,East,181.94675,3638.9350000000004,2025-08-18
P03,LM500,East,260.81034,6781.06884,2025-08-18
P03,OR500,East,223.11227,6024.03129,2025-08-18
P03,OR1000,East,318.34056,13051.962959999999,2025-08-18
P03,EN250,East,147.52057,5605.78166,2025-08-18
P03,EN500,East,100.681,5839.498,2025-08-18
P03,WT1000,East,714.75328,12150.805760000001,2025-08-18
P01,BB250,North,243.71352,4874.270399999999,2025-08-25
P01,BB500,North,383.87883,10364.72841,2025-08-25
P01,BB1000,North,489.86704,20084.548639999997,2025-08-25
P01,LM250,North,188.32617,3578.1972299999998,2025-08-25
P01,LM500,North,296.1936,7404.84,2025-08-25
P01,OR500,North,237.14706,6165.823560000001,2025-08-25
P01,OR1000,North,346.61483,13864.5932,2025-08-25
P01,EN250,North,154.36554,5711.52498,2025-08-25
P01,EN500,North,110.9811,6325.9227,2025-08-25
P01,WT1000,North,781.03478,12496.55648,2025-08-25
P02,BB250,Central,239.84901,5036.82921,2025-08-25
P02,BB250,South,305.33164,5801.30116,2025-08-25
P02,BB250,West,311.12149,6844.67278,2025-08-25
P02,BB500,Central,318.40079,8915.222119999999,2025-08-25
P02,BB500,South,431.15467,11210.021420000001,2025-08-25
P02,BB500,West,422.30938,12246.97202,2025-08-25
P02,BB1000,Central,430.60467,18085.39614,2025-08-25
P02,BB1000,South,518.46398,20738.5592,2025-08-25
P02,BB1000,West,556.98513,23950.36059,2025-08-25
P02,LM250,Central,183.59817,3671.9634,2025-08-25
P02,LM250,South,244.46831,4400.42958,2025-08-25
P02,LM250,West,246.29707,5172.23847,2025-08-25
P02,LM500,Central,251.9375,6550.375,2025-08-25
P02,LM500,South,329.81484,7915.55616,2025-08-25
P02,LM500,West,339.04245,9154.146149999999,2025-08-25
P02,OR500,Central,222.75088,6014.27376,2025-08-25
P02,OR500,South,276.99954,6924.9885,2025-08-25
P02,OR500,West,289.03259,8092.912520000001,2025-08-25
P02,OR1000,Central,308.64073,12654.26993,2025-08-25
P02,OR1000,South,405.34015,15808.26585,2025-08-25
P02,OR1000,West,410.20836,17228.75112,2025-08-25
P02,EN250,Central,143.74277,5462.22526,2025-08-25
P02,EN250,South,182.97808,6587.2108800000005,2025-08-25
P02,EN250,West,185.5296,7235.654399999999,2025-08-25
P02,EN500,Central,101.69575,5898.3535,2025-08-25
P02,EN500,South,129.40564,7246.715840000001,2025-08-25
P02,EN500,West,130.75185,7714.359149999999,2025-08-25
P02,WT1000,Central,706.63378,12012.77426,2025-08-25
P02,WT1000,South,903.44936,13551.740399999999,2025-08-25
P02,WT1000,West,916.29585,16493.3253,2025-08-25
P03,BB250,East,247.17939,5190.7671900000005,2025-08-25
P03,BB500,East,338.53067,9478.85876,2025-08-25
P03,BB1000,East,412.3439,17318.4438,2025-08-25
P03,LM250,East,179.31219,3586.2437999999997,2025-08-25
P03,LM500,East,256.23902,6662.2145199999995,2025-08-25
P03,OR500,East,220.96704,5966.11008,2025-08-25
P03,OR1000,East,309.1561,12675.400099999999,2025-08-25
P03,EN250,East,144.49529,5490.82102,2025-08-25
P03,EN500,East,103.62898,6010.48084,2025-08-25
P03,WT1000,East,708.47767,12044.12039,2025-08-25
P01,BB250,North,248.7031,4974.062,2025-09-01
P01,BB500,North,371.98496,10043.59392,2025-09-01
P01,BB1000,North,463.08193,18986.35913,2025-09-01
P01,LM250,North,193.97785,3685.5791499999996,2025-09-01
P01,LM500,North,285.7589,7143.9725,2025-09-01
P01,OR500,North,233.02895,6058.7527,2025-09-01
P01,OR1000,North,333.48021,13339.2084,2025-09-01
P01,EN250,North,155.82584,5765.55608,2025-09-01
P01,EN500,North,114.03297,6499.879290000001,2025-09-01
P01,WT1000,North,767.82614,12285.21824,2025-09-01
P02,BB250,Central,226.95276,4766.00796,2025-09-01
P02,BB250,South,297.36328,5649.902319999999,2025-09-01
P02,BB250,West,304.33405,6695.349099999999,2025-09-01
P02,BB500,Central,322.95703,9042.796839999999,2025-09-01
P02,BB500,South,406.48639,10568.646139999999,2025-09-01
P02,BB500,West,424.27993,12304.11797,2025-09-01
P02,BB1000,Central,422.46747,17743.63374,2025-09-01
P02,BB1000,South,531.04276,21241.710400000004,2025-09-01
P02,BB1000,West,550.73238,23681.49234,2025-09-01
P02,LM250,Central,178.48379,3569.6758,2025-09-01
P02,LM250,South,238.88183,4299.87294,2025-09-01
P02,LM250,West,259.23329,5443.89909,2025-09-01
P02,LM500,Central,256.9071,6679.5846,2025-09-01
P02,LM500,South,326.37051,7832.892240000001,2025-09-01
P02,LM500,West,353.60813,9547.41951,2025-09-01
P02,OR500,Central,221.99014,5993.73378,2025-09-01
P02,OR500,South,285.81361,7145.340249999999,2025-09-01
P02,OR500,West,287.12533,8039.50924,2025-09-01
P02,OR1000,Central,301.54981,12363.54221,2025-09-01
P02,OR1000,South,415.34379,16198.40781,2025-09-01
P02,OR1000,West,405.91198,17048.30316,2025-09-01
P02,EN250,Central,145.05729,5512.17702,2025-09-01
P02,EN250,South,184.36614,6637.18104,2025-09-01
P02,EN250,West,188.23374,7341.115860000001,2025-09-01
P02,EN500,Central,108.71823,6305.657340000001,2025-09-01
P02,EN500,South,127.98892,7167.3795199999995,2025-09-01
P02,EN500,West,131.44886,7755.4827399999995,2025-09-01
P02,WT1000,Central,713.37648,12127.400160000001,2025-09-01
P02,WT1000,South,872.99554,13094.9331,2025-09-01
P02,WT1000,West,879.0586,15823.0548,2025-09-01
P03,BB250,East,247.627,5200.167,2025-09-01
P03,BB500,East,334.76644,9373.46032,2025-09-01
P03,BB1000,East,408.43652,17154.33384,2025-09-01
P03,LM250,East,181.43888,3628.7776000000003,2025-09-01
P03,LM500,East,254.57797,6619.02722,2025-09-01
P03,OR500,East,222.43428,6005.72556,2025-09-01
P03,OR1000,East,314.80326,12906.93366,2025-09-01
