week_start,plant_id,raw_material_id,required_quantity,supplier_id,supplier_name,unit_cost,lead_time_days,supplier_score,purchase_quantity,purchase_cost
2025-11-10,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-11-17,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
2025-11-24,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-12-01,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-12-08,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-12-15,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
2025-12-22,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
2025-12-29,P01,RM002,1000.0,S006,Premium Flavors,4.6,7,0.65,1000,4600.0
2025-07-07,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-07-14,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-07-28,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-08-04,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-08-11,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-08-18,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-09-01,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-09-08,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-09-15,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-09-29,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-10-06,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-10-13,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-10-20,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-11-03,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-11-10,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-11-17,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-11-24,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-12-08,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-12-15,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-12-22,P01,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-07-07,P01,RM004,45000.0,S011,FastBottle,2.15,6,0.65,45000,96750.0
2025-07-14,P01,RM004,65000.0,S011,FastBottle,2.15,6,0.65,65000,139750.0
2025-07-21,P01,RM004,65000.0,S011,FastBottle,2.15,6,0.65,65000,139750.0
2025-07-28,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-08-04,P01,RM004,55000.0,S011,FastBottle,2.15,6,0.65,55000,118250.0
2025-08-11,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-08-18,P01,RM004,55000.0,S011,FastBottle,2.15,6,0.65,55000,118250.0
2025-08-25,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-09-01,P01,RM004,55000.0,S011,FastBottle,2.15,6,0.65,55000,118250.0
2025-09-08,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-09-15,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-09-22,P01,RM004,55000.0,S011,FastBottle,2.15,6,0.65,55000,118250.0
2025-09-29,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-10-06,P01,RM004,55000.0,S011,FastBottle,2.15,6,0.65,55000,118250.0
2025-10-13,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-10-20,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-10-27,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-11-03,P01,RM004,55000.0,S011,FastBottle,2.15,6,0.65,55000,118250.0
2025-11-10,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-11-17,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-11-24,P01,RM004,55000.0,S011,FastBottle,2.15,6,0.65,55000,118250.0
2025-12-01,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-12-08,P01,RM004,55000.0,S011,FastBottle,2.15,6,0.65,55000,118250.0
2025-12-15,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-12-22,P01,RM004,60000.0,S011,FastBottle,2.15,6,0.65,60000,129000.0
2025-12-29,P01,RM004,35000.0,S011,FastBottle,2.15,6,0.65,35000,75250.0
2025-07-07,P01,RM005,45000.0,S014,QuickCaps,0.36,5,0.65,45000,16200.0
2025-07-14,P01,RM005,65000.0,S014,QuickCaps,0.36,5,0.65,65000,23400.0
2025-07-21,P01,RM005,65000.0,S014,QuickCaps,0.36,5,0.65,65000,23400.0
2025-07-28,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-08-04,P01,RM005,55000.0,S014,QuickCaps,0.36,5,0.65,55000,19800.0
2025-08-11,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-08-18,P01,RM005,55000.0,S014,QuickCaps,0.36,5,0.65,55000,19800.0
2025-08-25,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-09-01,P01,RM005,55000.0,S014,QuickCaps,0.36,5,0.65,55000,19800.0
2025-09-08,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-09-15,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-09-22,P01,RM005,55000.0,S014,QuickCaps,0.36,5,0.65,55000,19800.0
2025-09-29,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-10-06,P01,RM005,55000.0,S014,QuickCaps,0.36,5,0.65,55000,19800.0
2025-10-13,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-10-20,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-10-27,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-11-03,P01,RM005,55000.0,S014,QuickCaps,0.36,5,0.65,55000,19800.0
2025-11-10,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-11-17,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-11-24,P01,RM005,55000.0,S014,QuickCaps,0.36,5,0.65,55000,19800.0
2025-12-01,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-12-08,P01,RM005,55000.0,S014,QuickCaps,0.36,5,0.65,55000,19800.0
2025-12-15,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-12-22,P01,RM005,60000.0,S014,QuickCaps,0.36,5,0.65,60000,21600.0
2025-12-29,P01,RM005,35000.0,S014,QuickCaps,0.36,5,0.65,35000,12600.0
2025-07-07,P01,RM006,50000.0,S015,LabelWorks,0.11,7,0.6767521367521366,50000,5500.0
2025-07-14,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-07-21,P01,RM006,70000.0,S015,LabelWorks,0.11,7,0.6767521367521366,70000,7700.0
2025-07-28,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-08-04,P01,RM006,50000.0,S015,LabelWorks,0.11,7,0.6767521367521366,50000,5500.0
2025-08-11,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-08-18,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-08-25,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-09-01,P01,RM006,50000.0,S015,LabelWorks,0.11,7,0.6767521367521366,50000,5500.0
2025-09-08,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-09-15,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-09-22,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-09-29,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-10-06,P01,RM006,50000.0,S015,LabelWorks,0.11,7,0.6767521367521366,50000,5500.0
2025-10-13,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-10-20,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-10-27,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-11-03,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-11-10,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-11-17,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-11-24,P01,RM006,50000.0,S015,LabelWorks,0.11,7,0.6767521367521366,50000,5500.0
2025-12-01,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-12-08,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-12-15,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-12-22,P01,RM006,60000.0,S015,LabelWorks,0.11,7,0.6767521367521366,60000,6600.0
2025-12-29,P01,RM006,30000.0,S015,LabelWorks,0.11,7,0.6767521367521366,30000,3300.0
2025-06-30,P01,RM007,500.0,S020,QuickCarton,8.6,4,0.65,500,4300.0
2025-07-07,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-07-14,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-07-21,P01,RM007,4000.0,S020,QuickCarton,8.6,4,0.65,4000,34400.0
2025-07-28,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-08-04,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-08-11,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-08-18,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-08-25,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-09-01,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-09-08,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-09-15,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-09-22,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-09-29,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-10-06,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-10-13,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-10-20,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-10-27,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-11-03,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-11-10,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-11-17,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-11-24,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-12-01,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-12-08,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-12-15,P01,RM007,3500.0,S020,QuickCarton,8.6,4,0.65,3500,30100.0
2025-12-22,P01,RM007,3000.0,S020,QuickCarton,8.6,4,0.65,3000,25800.0
2025-12-29,P01,RM007,2000.0,S020,QuickCarton,8.6,4,0.65,2000,17200.0
2025-07-07,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-07-14,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-07-21,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-07-28,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-08-04,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-08-11,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-08-18,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-08-25,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-09-01,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-09-08,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-09-15,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-09-22,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-09-29,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-10-06,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-10-13,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-10-20,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-10-27,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-11-03,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-11-10,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-11-17,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-11-24,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-12-01,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-12-08,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-12-15,P01,RM008,300.0,S023,FastFilm,2.2,4,0.65,300,660.0
2025-12-22,P01,RM008,400.0,S023,FastFilm,2.2,4,0.65,400,880.0000000000001
2025-12-29,P01,RM008,200.0,S023,FastFilm,2.2,4,0.65,200,440.00000000000006
2025-06-30,P02,RM001,26500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,26500,16430.0
2025-07-07,P02,RM001,31000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,31000,19220.0
2025-07-14,P02,RM001,31000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,31000,19220.0
2025-07-21,P02,RM001,31000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,31000,19220.0
2025-07-28,P02,RM001,30000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,30000,18600.0
2025-08-04,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-08-11,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-08-18,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-08-25,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-09-01,P02,RM001,28000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28000,17360.0
2025-09-08,P02,RM001,28000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28000,17360.0
2025-09-15,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-09-22,P02,RM001,28000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28000,17360.0
2025-09-29,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-10-06,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-10-13,P02,RM001,28000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28000,17360.0
2025-10-20,P02,RM001,29000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,29000,17980.0
2025-10-27,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-11-03,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-11-10,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-11-17,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-11-24,P02,RM001,28000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28000,17360.0
2025-12-01,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-12-08,P02,RM001,28000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28000,17360.0
2025-12-15,P02,RM001,28500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,28500,17670.0
2025-12-22,P02,RM001,29000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,29000,17980.0
2025-12-29,P02,RM001,17500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,17500,10850.0
2025-06-30,P02,RM002,7400.0,S006,Premium Flavors,4.6,7,0.65,7400,34040.0
2025-07-07,P02,RM002,6100.0,S006,Premium Flavors,4.6,7,0.65,6100,28059.999999999996
2025-07-14,P02,RM002,6300.0,S006,Premium Flavors,4.6,7,0.65,6300,28979.999999999996
2025-07-21,P02,RM002,6100.0,S006,Premium Flavors,4.6,7,0.65,6100,28059.999999999996
2025-07-28,P02,RM002,6100.0,S006,Premium Flavors,4.6,7,0.65,6100,28059.999999999996
2025-08-04,P02,RM002,5600.0,S006,Premium Flavors,4.6,7,0.65,5600,25759.999999999996
2025-08-11,P02,RM002,5800.0,S006,Premium Flavors,4.6,7,0.65,5800,26679.999999999996
2025-08-18,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-08-25,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-09-01,P02,RM002,5600.0,S006,Premium Flavors,4.6,7,0.65,5600,25759.999999999996
2025-09-08,P02,RM002,5600.0,S006,Premium Flavors,4.6,7,0.65,5600,25759.999999999996
2025-09-15,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-09-22,P02,RM002,5600.0,S006,Premium Flavors,4.6,7,0.65,5600,25759.999999999996
2025-09-29,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-10-06,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-10-13,P02,RM002,5600.0,S006,Premium Flavors,4.6,7,0.65,5600,25759.999999999996
2025-10-20,P02,RM002,5800.0,S006,Premium Flavors,4.6,7,0.65,5800,26679.999999999996
2025-10-27,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-11-03,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-11-10,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-11-17,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-11-24,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-12-01,P02,RM002,5600.0,S006,Premium Flavors,4.6,7,0.65,5600,25759.999999999996
2025-12-08,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-12-15,P02,RM002,5700.0,S006,Premium Flavors,4.6,7,0.65,5700,26219.999999999996
2025-12-22,P02,RM002,5800.0,S006,Premium Flavors,4.6,7,0.65,5800,26679.999999999996
2025-12-29,P02,RM002,3500.0,S006,Premium Flavors,4.6,7,0.65,3500,16099.999999999998
2025-06-30,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-07-07,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-07-14,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-07-21,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-07-28,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-08-04,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-08-11,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-08-18,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-08-25,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-09-01,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-09-08,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-09-15,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-09-22,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-09-29,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-10-06,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-10-13,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-10-20,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-10-27,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-11-03,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-11-10,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-11-17,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-11-24,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-12-01,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-12-08,P02,RM003,200.0,S007,GasTech,1.65,5,0.65,200,330.0
2025-12-15,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-12-22,P02,RM003,300.0,S007,GasTech,1.65,5,0.65,300,495.0
2025-12-29,P02,RM003,100.0,S007,GasTech,1.65,5,0.65,100,165.0
2025-06-30,P02,RM004,175000.0,S011,FastBottle,2.15,6,0.65,175000,376250.0
