plant_id,warehouse_id,sku,shipment_cases,transport_cost_per_case,handling_cost_per_case,week_start,distribution_cost
P01,WH_Delhi,EN500,88.740669,2.0,1.2,2025-07-07,283.9701408
P01,WH_Delhi,LM250,165.94416,2.0,1.2,2025-07-07,531.0213120000001
P01,WH_Delhi,LM500,231.8861,2.0,1.2,2025-07-07,742.03552
P01,WH_Delhi,OR1000,261.35767,2.0,1.2,2025-07-07,836.344544
P01,WH_Delhi,OR500,189.73356,2.0,1.2,2025-07-07,607.1473920000001
P01,WH_Delhi,WT1000,640.06639,2.0,1.2,2025-07-07,2048.2124479999998
P02,WH_Mumbai,BB1000,419.97519,5.0,1.4,2025-07-07,2687.8412160000003
P02,WH_Mumbai,BB250,225.53012,5.0,1.4,2025-07-07,1443.3927680000002
P02,WH_Mumbai,BB500,315.0541,5.0,1.4,2025-07-07,2016.34624
P02,WH_Mumbai,EN250,145.44536,5.0,1.4,2025-07-07,930.850304
P02,WH_Mumbai,EN500,102.38777,5.0,1.4,2025-07-07,655.281728
P02,WH_Mumbai,LM250,175.6076,5.0,1.4,2025-07-07,1123.88864
P02,WH_Mumbai,LM500,252.04086,5.0,1.4,2025-07-07,1613.0615040000002
P02,WH_Mumbai,OR1000,331.73149,5.0,1.4,2025-07-07,2123.081536
P02,WH_Mumbai,OR500,218.14355,5.0,1.4,2025-07-07,1396.1187200000002
P02,WH_Mumbai,WT1000,645.05675,5.0,1.4,2025-07-07,4128.3632
P02,WH_Bangalore,BB1000,394.39804,2.0,1.3,2025-07-07,1301.513532
P02,WH_Bangalore,BB250,236.58373,2.0,1.3,2025-07-07,780.726309
P02,WH_Bangalore,BB500,317.01414,2.0,1.3,2025-07-07,1046.1466619999999
P02,WH_Bangalore,EN250,135.68699,2.0,1.3,2025-07-07,447.767067
P02,WH_Bangalore,EN500,95.805235,2.0,1.3,2025-07-07,316.15727549999997
P02,WH_Bangalore,LM250,177.00736,2.0,1.3,2025-07-07,584.124288
P02,WH_Bangalore,LM500,248.36837,2.0,1.3,2025-07-07,819.6156209999999
P02,WH_Bangalore,OR1000,326.48128,2.0,1.3,2025-07-07,1077.388224
P02,WH_Bangalore,OR500,198.23196,2.0,1.3,2025-07-07,654.1654679999999
P02,WH_Bangalore,WT1000,631.13554,2.0,1.3,2025-07-07,2082.747282
P02,WH_Hyderabad,BB1000,203.90516,3.5,1.15,2025-07-07,948.158994
P02,WH_Hyderabad,BB250,119.12919,3.5,1.15,2025-07-07,553.9507335000001
P02,WH_Hyderabad,BB500,166.05536,3.5,1.15,2025-07-07,772.1574240000001
P02,WH_Hyderabad,EN250,69.503753,3.5,1.15,2025-07-07,323.19245145
P02,WH_Hyderabad,EN500,49.884962,3.5,1.15,2025-07-07,231.96507330000003
P02,WH_Hyderabad,LM250,92.976512,3.5,1.15,2025-07-07,432.3407808
P02,WH_Hyderabad,LM500,130.68398,3.5,1.15,2025-07-07,607.680507
P02,WH_Hyderabad,OR1000,142.90188,3.5,1.15,2025-07-07,664.4937420000001
P02,WH_Hyderabad,OR500,100.29098,3.5,1.15,2025-07-07,466.35305700000004
P02,WH_Hyderabad,WT1000,425.31491,3.5,1.15,2025-07-07,1977.7143315
P03,WH_Kolkata,BB1000,338.76603,2.0,1.1,2025-07-07,1050.174693
P03,WH_Kolkata,BB250,193.62167,2.0,1.1,2025-07-07,600.227177
P03,WH_Kolkata,BB500,281.35832,2.0,1.1,2025-07-07,872.210792
P03,WH_Kolkata,EN250,123.22731,2.0,1.1,2025-07-07,382.004661
P03,WH_Kolkata,EN500,80.962003,2.0,1.1,2025-07-07,250.9822093
P03,WH_Kolkata,LM250,149.7884,2.0,1.1,2025-07-07,464.34404
P03,WH_Kolkata,LM500,215.78549,2.0,1.1,2025-07-07,668.935019
P03,WH_Kolkata,OR1000,266.09529,2.0,1.1,2025-07-07,824.895399
P03,WH_Kolkata,OR500,177.38307,2.0,1.1,2025-07-07,549.887517
P03,WH_Kolkata,WT1000,637.22668,2.0,1.1,2025-07-07,1975.402708
P03,WH_Hyderabad,BB1000,118.55,3.0,1.15,2025-07-07,491.9825
P03,WH_Hyderabad,BB250,69.316665,3.0,1.15,2025-07-07,287.66415975
P03,WH_Hyderabad,BB500,101.175,3.0,1.15,2025-07-07,419.87625
P03,WH_Hyderabad,EN250,41.383332,3.0,1.15,2025-07-07,171.74082780000003
P03,WH_Hyderabad,EN500,29.174997,3.0,1.15,2025-07-07,121.07623755000002
P03,WH_Hyderabad,LM250,52.374996,3.0,1.15,2025-07-07,217.35623340000004
P03,WH_Hyderabad,LM500,74.516664,3.0,1.15,2025-07-07,309.24415560000006
P03,WH_Hyderabad,OR1000,89.799999,3.0,1.15,2025-07-07,372.66999585
P03,WH_Hyderabad,OR500,63.349996,3.0,1.15,2025-07-07,262.9024834
P03,WH_Hyderabad,WT1000,208.26667,3.0,1.15,2025-07-07,864.3066805000001
P01,WH_Delhi,BB1000,380.99737,2.0,1.2,2025-07-14,1219.191584
P01,WH_Delhi,BB250,213.16572,2.0,1.2,2025-07-14,682.130304
P01,WH_Delhi,BB500,302.15108,2.0,1.2,2025-07-14,966.883456
P01,WH_Delhi,EN250,124.68216,2.0,1.2,2025-07-14,398.982912
P01,WH_Delhi,EN500,89.371937,2.0,1.2,2025-07-14,285.9901984
P01,WH_Delhi,LM250,156.21536,2.0,1.2,2025-07-14,499.889152
P01,WH_Delhi,LM500,243.35318,2.0,1.2,2025-07-14,778.730176
P01,WH_Delhi,OR1000,265.06479,2.0,1.2,2025-07-14,848.2073280000001
P01,WH_Delhi,OR500,204.86058,2.0,1.2,2025-07-14,655.553856
P01,WH_Delhi,WT1000,612.95674,2.0,1.2,2025-07-14,1961.461568
P02,WH_Mumbai,BB1000,427.02178,5.0,1.4,2025-07-14,2732.939392
P02,WH_Mumbai,BB250,229.6779,5.0,1.4,2025-07-14,1469.93856
P02,WH_Mumbai,BB500,324.74252,5.0,1.4,2025-07-14,2078.352128
P02,WH_Mumbai,EN250,135.98176,5.0,1.4,2025-07-14,870.2832640000001
P02,WH_Mumbai,EN500,103.45733,5.0,1.4,2025-07-14,662.1269120000001
P02,WH_Mumbai,LM250,178.20596,5.0,1.4,2025-07-14,1140.5181440000001
P02,WH_Mumbai,LM500,265.60825,5.0,1.4,2025-07-14,1699.8928
P02,WH_Mumbai,OR1000,318.8508,5.0,1.4,2025-07-14,2040.6451200000001
P02,WH_Mumbai,OR500,216.66349,5.0,1.4,2025-07-14,1386.646336
P02,WH_Mumbai,WT1000,663.02349,5.0,1.4,2025-07-14,4243.350336
P02,WH_Bangalore,BB1000,402.54191,2.0,1.3,2025-07-14,1328.388303
P02,WH_Bangalore,BB250,224.79598,2.0,1.3,2025-07-14,741.8267339999999
P02,WH_Bangalore,BB500,315.59635,2.0,1.3,2025-07-14,1041.4679549999998
P02,WH_Bangalore,EN250,139.00458,2.0,1.3,2025-07-14,458.71511399999997
P02,WH_Bangalore,EN500,96.444033,2.0,1.3,2025-07-14,318.2653089
P02,WH_Bangalore,LM250,174.1737,2.0,1.3,2025-07-14,574.77321
P02,WH_Bangalore,LM500,248.24171,2.0,1.3,2025-07-14,819.197643
P02,WH_Bangalore,OR1000,328.97432,2.0,1.3,2025-07-14,1085.6152559999998
P02,WH_Bangalore,OR500,214.20995,2.0,1.3,2025-07-14,706.892835
P02,WH_Bangalore,WT1000,656.91524,2.0,1.3,2025-07-14,2167.820292
P02,WH_Hyderabad,BB1000,201.60125,3.5,1.15,2025-07-14,937.4458125
P02,WH_Hyderabad,BB250,119.07394,3.5,1.15,2025-07-14,553.693821
P02,WH_Hyderabad,BB500,159.55061,3.5,1.15,2025-07-14,741.9103365000001
P02,WH_Hyderabad,EN250,70.368305,3.5,1.15,2025-07-14,327.21261825000005
P02,WH_Hyderabad,EN500,54.476327,3.5,1.15,2025-07-14,253.31492055
P02,WH_Hyderabad,LM250,96.83005,3.5,1.15,2025-07-14,450.25973250000004
P02,WH_Hyderabad,LM500,132.26008,3.5,1.15,2025-07-14,615.009372
P02,WH_Hyderabad,OR1000,161.87795,3.5,1.15,2025-07-14,752.7324675000001
P02,WH_Hyderabad,OR500,107.44856,3.5,1.15,2025-07-14,499.63580400000006
P02,WH_Hyderabad,WT1000,378.39541,3.5,1.15,2025-07-14,1759.5386565000003
P03,WH_Kolkata,BB1000,345.96948,2.0,1.1,2025-07-14,1072.505388
P03,WH_Kolkata,BB250,209.76931,2.0,1.1,2025-07-14,650.284861
P03,WH_Kolkata,BB500,320.81934,2.0,1.1,2025-07-14,994.5399540000001
P03,WH_Kolkata,EN250,118.79883,2.0,1.1,2025-07-14,368.276373
P03,WH_Kolkata,EN500,83.938977,2.0,1.1,2025-07-14,260.2108287
P03,WH_Kolkata,LM250,148.54937,2.0,1.1,2025-07-14,460.50304700000004
P03,WH_Kolkata,LM500,209.3814,2.0,1.1,2025-07-14,649.08234
P03,WH_Kolkata,OR1000,265.49597,2.0,1.1,2025-07-14,823.037507
P03,WH_Kolkata,OR500,176.92062,2.0,1.1,2025-07-14,548.453922
P03,WH_Kolkata,WT1000,623.12769,2.0,1.1,2025-07-14,1931.6958390000002
P03,WH_Hyderabad,BB1000,118.55,3.0,1.15,2025-07-14,491.9825
P03,WH_Hyderabad,BB250,69.316668,3.0,1.15,2025-07-14,287.66417220000005
P03,WH_Hyderabad,BB500,101.175,3.0,1.15,2025-07-14,419.87625
P03,WH_Hyderabad,EN250,41.383333,3.0,1.15,2025-07-14,171.74083195000003
P03,WH_Hyderabad,EN500,29.175003,3.0,1.15,2025-07-14,121.07626245000002
P03,WH_Hyderabad,LM250,52.375002,3.0,1.15,2025-07-14,217.35625830000004
P03,WH_Hyderabad,LM500,74.51667,3.0,1.15,2025-07-14,309.2441805
P03,WH_Hyderabad,OR1000,89.799997,3.0,1.15,2025-07-14,372.66998755000003
P03,WH_Hyderabad,OR500,63.350002,3.0,1.15,2025-07-14,262.9025083
P03,WH_Hyderabad,WT1000,208.26666,3.0,1.15,2025-07-14,864.3066390000001
P01,WH_Delhi,BB1000,362.4775,2.0,1.2,2025-07-21,1159.928
P01,WH_Delhi,BB250,209.59701,2.0,1.2,2025-07-21,670.7104320000001
P01,WH_Delhi,BB500,334.56812,2.0,1.2,2025-07-21,1070.6179840000002
P01,WH_Delhi,EN250,119.34532,2.0,1.2,2025-07-21,381.905024
P01,WH_Delhi,EN500,95.956755,2.0,1.2,2025-07-21,307.061616
P01,WH_Delhi,LM250,161.63356,2.0,1.2,2025-07-21,517.227392
P01,WH_Delhi,LM500,241.47728,2.0,1.2,2025-07-21,772.727296
P01,WH_Delhi,OR1000,266.13545,2.0,1.2,2025-07-21,851.6334400000001
P01,WH_Delhi,OR500,184.89949,2.0,1.2,2025-07-21,591.678368
P01,WH_Delhi,WT1000,580.61509,2.0,1.2,2025-07-21,1857.968288
P02,WH_Mumbai,BB1000,403.31229,5.0,1.4,2025-07-21,2581.1986560000005
P02,WH_Mumbai,BB250,247.38855,5.0,1.4,2025-07-21,1583.28672
P02,WH_Mumbai,BB500,323.58709,5.0,1.4,2025-07-21,2070.957376
P02,WH_Mumbai,EN250,137.0027,5.0,1.4,2025-07-21,876.8172800000001
P02,WH_Mumbai,EN500,108.1265,5.0,1.4,2025-07-21,692.0096
P02,WH_Mumbai,LM250,174.75627,5.0,1.4,2025-07-21,1118.440128
P02,WH_Mumbai,LM500,265.71733,5.0,1.4,2025-07-21,1700.5909120000001
P02,WH_Mumbai,OR1000,313.56966,5.0,1.4,2025-07-21,2006.845824
P02,WH_Mumbai,OR500,232.65188,5.0,1.4,2025-07-21,1488.9720320000001
P02,WH_Mumbai,WT1000,705.27477,5.0,1.4,2025-07-21,4513.758528
P02,WH_Bangalore,BB1000,398.35765,2.0,1.3,2025-07-21,1314.5802449999999
P02,WH_Bangalore,BB250,216.47397,2.0,1.3,2025-07-21,714.364101
P02,WH_Bangalore,BB500,309.27157,2.0,1.3,2025-07-21,1020.5961809999999
P02,WH_Bangalore,EN250,133.90907,2.0,1.3,2025-07-21,441.89993100000004
P02,WH_Bangalore,EN500,100.09302,2.0,1.3,2025-07-21,330.306966
P02,WH_Bangalore,LM250,177.52062,2.0,1.3,2025-07-21,585.818046
P02,WH_Bangalore,LM500,251.74178,2.0,1.3,2025-07-21,830.747874
P02,WH_Bangalore,OR1000,324.15968,2.0,1.3,2025-07-21,1069.7269439999998
P02,WH_Bangalore,OR500,213.94242,2.0,1.3,2025-07-21,706.0099859999999
P02,WH_Bangalore,WT1000,679.56293,2.0,1.3,2025-07-21,2242.5576690000003
P02,WH_Hyderabad,BB1000,214.60305,3.5,1.15,2025-07-21,997.9041825
P02,WH_Hyderabad,BB250,114.04596,3.5,1.15,2025-07-21,530.313714
P02,WH_Hyderabad,BB500,154.90071,3.5,1.15,2025-07-21,720.2883015000001
P02,WH_Hyderabad,EN250,71.123083,3.5,1.15,2025-07-21,330.72233595
P02,WH_Hyderabad,EN500,52.526387,3.5,1.15,2025-07-21,244.24769955000002
P02,WH_Hyderabad,LM250,91.485185,3.5,1.15,2025-07-21,425.40611025000004
P02,WH_Hyderabad,LM500,131.25598,3.5,1.15,2025-07-21,610.340307
P02,WH_Hyderabad,OR1000,146.95932,3.5,1.15,2025-07-21,683.3608380000001
P02,WH_Hyderabad,OR500,109.95533,3.5,1.15,2025-07-21,511.29228450000005
P02,WH_Hyderabad,WT1000,403.90183,3.5,1.15,2025-07-21,1878.1435095000002
P03,WH_Kolkata,BB1000,341.50404,2.0,1.1,2025-07-21,1058.6625239999998
P03,WH_Kolkata,BB250,203.40688,2.0,1.1,2025-07-21,630.561328
P03,WH_Kolkata,BB500,290.66111,2.0,1.1,2025-07-21,901.049441
P03,WH_Kolkata,EN250,125.03757,2.0,1.1,2025-07-21,387.616467
P03,WH_Kolkata,EN500,89.930932,2.0,1.1,2025-07-21,278.7858892
P03,WH_Kolkata,LM250,147.76685,2.0,1.1,2025-07-21,458.07723500000003
P03,WH_Kolkata,LM500,203.95472,2.0,1.1,2025-07-21,632.259632
P03,WH_Kolkata,OR1000,259.8163,2.0,1.1,2025-07-21,805.4305300000001
P03,WH_Kolkata,OR500,173.8142,2.0,1.1,2025-07-21,538.82402
P03,WH_Kolkata,WT1000,610.87797,2.0,1.1,2025-07-21,1893.7217070000002
P03,WH_Hyderabad,BB1000,118.55,3.0,1.15,2025-07-21,491.9825
P03,WH_Hyderabad,BB250,69.31667,3.0,1.15,2025-07-21,287.66418050000004
P03,WH_Hyderabad,BB500,101.175,3.0,1.15,2025-07-21,419.87625
P03,WH_Hyderabad,EN250,41.383333,3.0,1.15,2025-07-21,171.74083195000003
P03,WH_Hyderabad,EN500,29.174998,3.0,1.15,2025-07-21,121.07624170000001
P03,WH_Hyderabad,LM250,52.374995,3.0,1.15,2025-07-21,217.35622925
P03,WH_Hyderabad,LM500,74.516669,3.0,1.15,2025-07-21,309.24417635
P03,WH_Hyderabad,OR1000,89.799999,3.0,1.15,2025-07-21,372.66999585
P03,WH_Hyderabad,OR500,63.350001,3.0,1.15,2025-07-21,262.90250415
P03,WH_Hyderabad,WT1000,208.26667,3.0,1.15,2025-07-21,864.3066805000001
P01,WH_Delhi,BB1000,344.31932,2.0,1.2,2025-07-28,1101.821824
P01,WH_Delhi,BB250,187.25358,2.0,1.2,2025-07-28,599.211456
P01,WH_Delhi,BB500,270.37185,2.0,1.2,2025-07-28,865.18992
P01,WH_Delhi,EN250,116.40538,2.0,1.2,2025-07-28,372.497216
P01,WH_Delhi,EN500,88.843958,2.0,1.2,2025-07-28,284.3006656
P01,WH_Delhi,LM250,150.20803,2.0,1.2,2025-07-28,480.665696
P01,WH_Delhi,LM500,212.11614,2.0,1.2,2025-07-28,678.771648
P01,WH_Delhi,OR1000,266.97606,2.0,1.2,2025-07-28,854.3233920000001
P01,WH_Delhi,OR500,172.02931,2.0,1.2,2025-07-28,550.4937920000001
P01,WH_Delhi,WT1000,565.80717,2.0,1.2,2025-07-28,1810.5829440000002
P02,WH_Mumbai,BB1000,395.42818,5.0,1.4,2025-07-28,2530.7403520000003
P02,WH_Mumbai,BB250,227.88595,5.0,1.4,2025-07-28,1458.47008
P02,WH_Mumbai,BB500,291.66705,5.0,1.4,2025-07-28,1866.6691200000002
P02,WH_Mumbai,EN250,136.8968,5.0,1.4,2025-07-28,876.1395200000002
P02,WH_Mumbai,EN500,96.481665,5.0,1.4,2025-07-28,617.4826560000001
P02,WH_Mumbai,LM250,163.90159,5.0,1.4,2025-07-28,1048.970176
P02,WH_Mumbai,LM500,245.28726,5.0,1.4,2025-07-28,1569.8384640000002
P02,WH_Mumbai,OR1000,294.41169,5.0,1.4,2025-07-28,1884.2348160000001
P02,WH_Mumbai,OR500,219.1341,5.0,1.4,2025-07-28,1402.45824
P02,WH_Mumbai,WT1000,629.16007,5.0,1.4,2025-07-28,4026.6244480000005
P02,WH_Bangalore,BB1000,387.39999,2.0,1.3,2025-07-28,1278.419967
P02,WH_Bangalore,BB250,209.64099,2.0,1.3,2025-07-28,691.815267
P02,WH_Bangalore,BB500,299.72993,2.0,1.3,2025-07-28,989.108769
P02,WH_Bangalore,EN250,131.6083,2.0,1.3,2025-07-28,434.30739
P02,WH_Bangalore,EN500,96.641695,2.0,1.3,2025-07-28,318.91759349999995
P02,WH_Bangalore,LM250,177.64761,2.0,1.3,2025-07-28,586.2371129999999
P02,WH_Bangalore,LM500,227.59984,2.0,1.3,2025-07-28,751.079472
P02,WH_Bangalore,OR1000,297.52705,2.0,1.3,2025-07-28,981.8392649999998
P02,WH_Bangalore,OR500,199.68705,2.0,1.3,2025-07-28,658.967265
P02,WH_Bangalore,WT1000,619.74193,2.0,1.3,2025-07-28,2045.148369
P02,WH_Hyderabad,BB1000,213.15451,3.5,1.15,2025-07-28,991.1684715
P02,WH_Hyderabad,BB250,126.78909,3.5,1.15,2025-07-28,589.5692685
P02,WH_Hyderabad,BB500,154.25867,3.5,1.15,2025-07-28,717.3028155000001
P02,WH_Hyderabad,EN250,73.580615,3.5,1.15,2025-07-28,342.14985975
P02,WH_Hyderabad,EN500,48.893522,3.5,1.15,2025-07-28,227.3548773
P02,WH_Hyderabad,LM250,81.827205,3.5,1.15,2025-07-28,380.49650325000005
P02,WH_Hyderabad,LM500,117.14095,3.5,1.15,2025-07-28,544.7054175000001
P02,WH_Hyderabad,OR1000,148.14351,3.5,1.15,2025-07-28,688.8673215
P02,WH_Hyderabad,OR500,95.734053,3.5,1.15,2025-07-28,445.16334645000006
P02,WH_Hyderabad,WT1000,404.99336,3.5,1.15,2025-07-28,1883.2191240000002
P03,WH_Kolkata,BB1000,318.06814,2.0,1.1,2025-07-28,986.0112340000001
P03,WH_Kolkata,BB250,195.64169,2.0,1.1,2025-07-28,606.489239
P03,WH_Kolkata,BB500,294.46072,2.0,1.1,2025-07-28,912.828232
P03,WH_Kolkata,EN250,114.32437,2.0,1.1,2025-07-28,354.405547
P03,WH_Kolkata,EN500,81.253135,2.0,1.1,2025-07-28,251.88471850000002
P03,WH_Kolkata,LM250,146.96007,2.0,1.1,2025-07-28,455.57621700000004
P03,WH_Kolkata,LM500,204.58985,2.0,1.1,2025-07-28,634.2285350000001
P03,WH_Kolkata,OR1000,239.82883,2.0,1.1,2025-07-28,743.469373
P03,WH_Kolkata,OR500,163.64887,2.0,1.1,2025-07-28,507.311497
P03,WH_Kolkata,WT1000,579.27547,2.0,1.1,2025-07-28,1795.7539570000001
P03,WH_Hyderabad,BB1000,118.55,3.0,1.15,2025-07-28,491.9825
P03,WH_Hyderabad,BB250,69.316671,3.0,1.15,2025-07-28,287.66418465000004
P03,WH_Hyderabad,BB500,101.175,3.0,1.15,2025-07-28,419.87625
P03,WH_Hyderabad,EN250,41.383337,3.0,1.15,2025-07-28,171.74084855
P03,WH_Hyderabad,EN500,29.174995,3.0,1.15,2025-07-28,121.07622925000001
P03,WH_Hyderabad,LM250,52.374997,3.0,1.15,2025-07-28,217.35623755000003
P03,WH_Hyderabad,LM500,74.516666,3.0,1.15,2025-07-28,309.24416390000005
P03,WH_Hyderabad,OR1000,89.8,3.0,1.15,2025-07-28,372.67
P03,WH_Hyderabad,OR500,63.349995,3.0,1.15,2025-07-28,262.90247925
P03,WH_Hyderabad,WT1000,208.26667,3.0,1.15,2025-07-28,864.3066805000001
P01,WH_Delhi,BB1000,315.21019,2.0,1.2,2025-08-04,1008.6726080000001
P01,WH_Delhi,BB250,168.84999,2.0,1.2,2025-08-04,540.319968
P01,WH_Delhi,BB500,259.36268,2.0,1.2,2025-08-04,829.9605760000001
P01,WH_Delhi,EN250,112.93777,2.0,1.2,2025-08-04,361.400864
P01,WH_Delhi,EN500,77.064863,2.0,1.2,2025-08-04,246.60756160000003
P01,WH_Delhi,LM250,141.99721,2.0,1.2,2025-08-04,454.391072
P01,WH_Delhi,LM500,212.63931,2.0,1.2,2025-08-04,680.445792
P01,WH_Delhi,OR1000,237.11705,2.0,1.2,2025-08-04,758.7745600000001
P01,WH_Delhi,OR500,180.66834,2.0,1.2,2025-08-04,578.138688
P01,WH_Delhi,WT1000,526.21574,2.0,1.2,2025-08-04,1683.890368
P02,WH_Mumbai,BB1000,365.42888,5.0,1.4,2025-08-04,2338.744832
P02,WH_Mumbai,BB250,209.67611,5.0,1.4,2025-08-04,1341.927104
P02,WH_Mumbai,BB500,300.48528,5.0,1.4,2025-08-04,1923.105792
P02,WH_Mumbai,EN250,128.76404,5.0,1.4,2025-08-04,824.089856
P02,WH_Mumbai,EN500,89.571192,5.0,1.4,2025-08-04,573.2556288
P02,WH_Mumbai,LM250,158.86236,5.0,1.4,2025-08-04,1016.719104
P02,WH_Mumbai,LM500,236.3391,5.0,1.4,2025-08-04,1512.57024
P02,WH_Mumbai,OR1000,282.66885,5.0,1.4,2025-08-04,1809.0806400000001
P02,WH_Mumbai,OR500,213.76664,5.0,1.4,2025-08-04,1368.106496
P02,WH_Mumbai,WT1000,626.88929,5.0,1.4,2025-08-04,4012.091456
P02,WH_Bangalore,BB1000,328.65081,2.0,1.3,2025-08-04,1084.5476729999998
P02,WH_Bangalore,BB250,186.47081,2.0,1.3,2025-08-04,615.353673
